Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
Extinction,2018,27 Jul 2018,95 min,"Action, Drama, Sci-Fi",1 win,40,5.8,"54,648",tt3201640,N/A,English
Christopher Robin,2018,03 Aug 2018,104 min,"Adventure, Comedy, Drama",Nominated for 1 Oscar. 2 wins & 13 nominations total,60,7.2,"80,285",tt4575576,"$99,215,042",English
The Darkest Minds,2018,03 Aug 2018,104 min,"Action, Adventure, Drama",1 win & 3 nominations,39,5.7,"33,694",tt4073790,"$12,695,691",English
The Spy Who Dumped Me,2018,03 Aug 2018,117 min,"Action, Adventure, Comedy",3 wins & 4 nominations,52,6.0,"79,486",tt6663582,"$33,562,069","English, Russian, French, Lithuanian, German"
The Miseducation of Cameron Post,2018,07 Sep 2018,91 min,"Comedy, Drama",5 wins & 16 nominations,69,6.6,"23,880",tt6257174,"$904,703",English
Never Goin' Back,2018,30 Oct 2018,85 min,"Comedy, Crime, Drama",2 wins & 4 nominations,62,6.0,"3,410",tt7690016,"$61,271",English
Dog Days,2001,09 Nov 2001,121 min,Drama,7 wins & 3 nominations,66,7.0,"6,367",tt0290661,"$13,031",German
The Meg,2018,10 Aug 2018,113 min,"Action, Horror, Sci-Fi",5 wins & 6 nominations,46,5.6,"175,903",tt4779682,"$145,522,784","English, Mandarin, Thai, Japanese"
BlacKkKlansman,2018,10 Aug 2018,135 min,"Biography, Comedy, Crime",Won 1 Oscar. 45 wins & 215 nominations total,83,7.5,"271,614",tt7349662,"$49,275,340",English
Slender Man,2018,10 Aug 2018,93 min,"Horror, Mystery, Thriller",3 nominations,30,3.2,"35,618",tt5690360,"$30,569,484",English
A Prayer Before Dawn,2017,10 Aug 2018,116 min,"Action, Biography, Crime",1 win & 7 nominations,76,6.8,"24,624",tt4080956,"$14,453","English, Thai"
Crazy Rich Asians,2018,15 Aug 2018,120 min,"Comedy, Drama, Romance",14 wins & 67 nominations,74,6.9,"178,385",tt3104988,"$174,837,452","English, Mandarin, Cantonese, Hokkien, French, Malay"
Alpha,2018,17 Aug 2018,96 min,"Action, Adventure, Drama",2 wins,63,6.6,"64,032",tt4244998,"$35,857,181",English
Mile 22,2018,17 Aug 2018,94 min,"Action, Thriller",1 win,38,6.1,"82,468",tt4560436,"$36,108,758","English, Russian, Indonesian, Filipino"
The Wife,2017,28 Sep 2018,99 min,Drama,Nominated for 1 Oscar. 19 wins & 28 nominations total,77,7.2,"40,992",tt3750872,"$9,601,092","English, Swedish"
Billionaire Boys Club,2018,17 Jul 2018,108 min,"Biography, Drama, Thriller",1 win,30,5.6,"13,760",tt5179598,"$1,349",English
"Juliet, Naked",2018,17 Aug 2018,97 min,"Comedy, Drama, Music",1 win & 5 nominations,67,6.6,"23,510",tt5607096,"$3,444,895",English
Down a Dark Hall,2018,17 Aug 2018,96 min,"Drama, Fantasy, Horror",1 nomination,56,5.0,"14,453",tt2372251,N/A,English
